Train/Valid/Test,Corner Cases,Unseen,Category,Total,Percentage
Valid,80,50,Spielzeug & Baby,364,0.0728
Valid,80,50,Sport & Freizeit,711,0.079
Valid,80,50,Sport & Freizeit,559,0.07985714
Valid,80,50,Sport & Freizeit,376,0.0752
Valid,80,50,Werkzeug & Baumarkt,775,0.08611111
Valid,80,50,Werkzeug & Baumarkt,579,0.08271429
Valid,80,50,Werkzeug & Baumarkt,423,0.0846
Valid,80,100,Auto & Motorrad,173,0.02471429
Valid,80,100,Auto & Motorrad,117,0.0234
Valid,80,100,Auto & Motorrad,210,0.02333333
Valid,80,100,"Bücher, Filme & Musik",62,0.00885714
Valid,80,100,"Bücher, Filme & Musik",47,0.0094
Valid,80,100,"Bücher, Filme & Musik",84,0.00933333
Valid,80,100,Bürobedarf,19,0.00271429
Valid,80,100,Bürobedarf,17,0.0034
Valid,80,100,Bürobedarf,26,0.00288889
Valid,80,100,Elektronik & Computer,842,0.12028571
Valid,80,100,Elektronik & Computer,606,0.1212
Valid,80,100,Elektronik & Computer,1047,0.11633333
Valid,80,100,Gesundheit & Pflege,86,0.01228571
Valid,80,100,Gesundheit & Pflege,58,0.0116
Valid,80,100,Gesundheit & Pflege,111,0.01233333
Valid,80,100,Haustier & Tierbedarf,37,0.00528571
Valid,80,100,Haustier & Tierbedarf,27,0.0054
Valid,80,100,Haustier & Tierbedarf,56,0.00622222
Valid,80,100,Kleidung & Accessoires,1476,0.21085714
Valid,80,100,Kleidung & Accessoires,1074,0.2148
Valid,80,100,Kleidung & Accessoires,1901,0.21122222
Valid,80,100,Kosmetik & Drogerie,190,0.02714286
Valid,80,100,Kosmetik & Drogerie,140,0.028
Valid,80,100,Kosmetik & Drogerie,247,0.02744444
Valid,80,100,Lebensmittel & Getränke,76,0.01085714
Valid,80,100,Lebensmittel & Getränke,54,0.0108
Valid,80,100,Lebensmittel & Getränke,98,0.01088889
Valid,80,100,Möbel & Wohnen,2378,0.33971429
Valid,80,100,Möbel & Wohnen,1697,0.3394
Valid,80,100,Möbel & Wohnen,3076,0.34177778
Valid,80,100,Spielzeug & Baby,523,0.07471429
Valid,80,100,Spielzeug & Baby,364,0.0728
Valid,80,100,Spielzeug & Baby,658,0.07311111
Valid,80,100,Sport & Freizeit,559,0.07985714
Valid,80,100,Sport & Freizeit,376,0.0752
Valid,80,100,Sport & Freizeit,711,0.079
Valid,80,100,Werkzeug & Baumarkt,579,0.08271429
Valid,80,100,Werkzeug & Baumarkt,423,0.0846
Valid,80,100,Werkzeug & Baumarkt,775,0.08611111
